,State,Year,Confortability Income Threshold,Poverty Income Threshold,Rent Per State,Mean Income per State,Unemployment Rate,Latitude,Longitude
296,Washington,12/31/2025,49773,23588,1074,49446,2.76,47.400902,-121.490494
297,West Virginia,12/31/2025,40500,23617,743,41090,3.38,38.491226,-80.954453
298,Wisconsin,12/31/2025,47069,23587,675,45662,1.53,44.268543,-89.616508
299,Wyoming,12/31/2025,46975,23610,716,45936,2.61,42.755966,-107.30249
300,Alabama,12/31/2026,47118,23153,1000,45910,1.34,32.806671,-86.79113
301,Alaska,12/31/2026,54331,23156,674,53540,5.41,61.370716,-152.404419
302,Arizona,12/31/2026,44062,23155,590,42881,2.74,33.729759,-111.431221
303,Arkansas,12/31/2026,41767,23181,850,40999,1.96,34.969704,-92.373123
304,California,12/31/2026,53287,23148,1505,54133,1.78,36.116203,-119.681564
305,Colorado,12/31/2026,69901,23147,1283,71397,1.48,39.059811,-105.311104
306,Connecticut,12/31/2026,52769,23167,1017,52100,1.87,41.597782,-72.755371
307,Delaware,12/31/2026,47780,23181,870,46378,1.74,39.318523,-75.507141
308,Florida,12/31/2026,46586,23156,990,46032,1.28,27.766279,-81.686783
309,Georgia,12/31/2026,42628,23158,772,41526,1.55,33.040619,-83.643074
310,Hawaii,12/31/2026,67489,23172,1911,69550,1.34,21.094318,-157.498337
311,Idaho,12/31/2026,37933,23176,751,38002,1.23,44.240459,-114.478828
312,Illinois,12/31/2026,49344,23162,615,47608,1.95,40.349457,-88.986137
313,Indiana,12/31/2026,41764,23143,824,40911,1.47,39.849426,-86.258278
314,Iowa,12/31/2026,48323,23135,595,46400,1.24,42.011539,-93.210526
315,Kansas,12/31/2026,45611,23152,604,43755,1.92,38.5266,-96.726486
316,Kentucky,12/31/2026,39094,23172,670,38769,2.19,37.66814,-84.670067
317,Louisiana,12/31/2026,39708,23201,728,38975,2.98,31.169546,-91.867805
318,Maine,12/31/2026,38235,23182,991,39355,1.49,44.693947,-69.381927
319,Maryland,12/31/2026,55237,23174,1215,54630,2.10,39.063946,-76.802101
320,Massachusetts,12/31/2026,57995,23188,1939,62103,1.36,42.230171,-71.530106
321,Michigan,12/31/2026,42612,23183,709,41702,1.79,43.326618,-84.536095
322,Minnesota,12/31/2026,48489,23153,983,49061,1.69,45.694454,-93.900192
323,Mississippi,12/31/2026,37571,23136,805,38041,3.09,32.741646,-89.678696
324,Missouri,12/31/2026,40877,23177,661,39867,1.38,38.456085,-92.288368
325,Montana,12/31/2026,41595,23170,741,41496,1.93,46.921925,-110.454353
326,Nebraska,12/31/2026,48977,23171,711,48357,2.15,41.12537,-98.268082
327,Nevada,12/31/2026,50961,23170,784,49104,1.59,38.313515,-117.055374
328,New Hampshire,12/31/2026,66035,23179,1190,67275,1.26,43.452492,-71.563896
329,New Jersey,12/31/2026,57605,23156,1297,57887,1.73,40.298904,-74.521011
330,New Mexico,12/31/2026,40531,23162,688,39494,3.47,34.840515,-106.248482
331,New York,12/31/2026,55604,23145,1484,57290,2.16,42.165726,-74.948051
332,North Carolina,12/31/2026,45051,23172,788,44625,1.88,35.630066,-79.806419
333,North Dakota,12/31/2026,41293,23171,626,40087,1.70,47.528912,-99.784012
334,Ohio,12/31/2026,44473,23172,623,43240,2.13,40.388783,-82.764915
335,Oklahoma,12/31/2026,45496,23183,622,44170,1.83,35.565342,-96.928917
